epsilon,delta,algorithm,avg_time_s
50000,15000,RW,0.9328443879882495
50000,20000,Apriori,0.5661146268248558
50000,20000,BruteForce,1.2695991496245067
50000,20000,FPGrowth,0.7836607073744138
50000,20000,MultiProcessing,0.6331421472132206
50000,20000,RW,0.4075227963427703
55000,5000,Apriori,20.748035578678053
55000,5000,BruteForce,30.49327722315987
55000,5000,FPGrowth,21.71189332505067
55000,5000,MultiProcessing,10.357307066520056
55000,5000,RW,10.407420958330233
55000,10000,Apriori,4.539656080305576
55000,10000,BruteForce,6.555048529058695
55000,10000,FPGrowth,4.801435345162948
55000,10000,MultiProcessing,3.478106018155813
55000,10000,RW,3.3891956431170303
55000,15000,Apriori,1.1463556538025537
55000,15000,BruteForce,2.200873331477245
55000,15000,FPGrowth,1.341049075126648
55000,15000,MultiProcessing,1.1716048804422219
55000,15000,RW,0.9236523208518823
55000,20000,Apriori,0.5550946854054928
55000,20000,BruteForce,1.2379924071331816
55000,20000,FPGrowth,0.7972156678636869
55000,20000,MultiProcessing,0.6826777048408985
55000,20000,RW,0.4018503812452157
60000,5000,Apriori,20.93032582352559
60000,5000,BruteForce,29.923405996213358
60000,5000,FPGrowth,21.69931259130438
60000,5000,MultiProcessing,10.426429539918898
60000,5000,RW,10.867178983986378
60000,10000,Apriori,4.520796068012714
60000,10000,BruteForce,6.694723054766655
60000,10000,FPGrowth,4.738542454938094
60000,10000,MultiProcessing,3.4890835334857306
60000,10000,RW,3.40858575925231
60000,15000,Apriori,1.1232373242576918
60000,15000,BruteForce,2.1539818122982974
60000,15000,FPGrowth,1.4285240955650806
60000,15000,MultiProcessing,1.147590808570385
60000,15000,RW,0.9282838771740595
60000,20000,Apriori,0.5649581104516983
60000,20000,BruteForce,1.2533036135137083
60000,20000,FPGrowth,0.8641287932793299
60000,20000,MultiProcessing,0.6485655046999454
60000,20000,RW,0.4002146360774835
65000,5000,Apriori,20.99532415345311
65000,5000,BruteForce,30.055709096292656
65000,5000,FPGrowth,21.726984643687803
65000,5000,MultiProcessing,10.570452773322662
65000,5000,RW,10.232749985655149
65000,10000,Apriori,4.549710387984912
65000,10000,BruteForce,6.571017454067866
65000,10000,FPGrowth,4.608665343374014
65000,10000,MultiProcessing,3.48878995825847
65000,10000,RW,3.3792369601627192
65000,15000,Apriori,1.1399864455064137
65000,15000,BruteForce,2.2246155316630998
65000,15000,FPGrowth,1.4006512102981408
65000,15000,MultiProcessing,1.215576327095429
65000,15000,RW,0.9168836126724879
65000,20000,Apriori,0.5585179763535658
65000,20000,BruteForce,1.2650866943101087
65000,20000,FPGrowth,0.821680578092734
65000,20000,MultiProcessing,0.6499151289463043
65000,20000,RW,0.4122195986409982
