date,algorithm,chosen_treatment,chosen_condition,num_subgroups,delta,epsilon,status,num_attributes,run_time_seconds
2026-02-17 13:01:41,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11656351760029793
2026-02-17 13:01:41,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11486549861729145
2026-02-17 13:01:42,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11941567249596119
2026-02-17 13:01:42,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11900054663419724
2026-02-17 13:01:42,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12166001461446285
2026-02-17 13:01:42,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.17725641652941704
2026-02-17 13:01:42,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1319491434842348
2026-02-17 13:01:42,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.13059481978416443
2026-02-17 13:01:43,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11944170109927654
2026-02-17 13:01:43,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1144204456359148
2026-02-17 13:01:43,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11494055390357971
2026-02-17 13:01:43,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12307341955602169
2026-02-17 13:01:43,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1200706772506237
2026-02-17 13:01:43,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11303405649960041
2026-02-17 13:01:43,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11680209636688232
2026-02-17 13:01:44,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11184733361005783
2026-02-17 13:01:44,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11564142815768719
2026-02-17 13:01:44,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.0782432034611702
2026-02-17 13:01:44,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.07149811647832394
2026-02-17 13:01:44,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.07159042358398438
2026-02-17 13:01:44,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07938537001609802
2026-02-17 13:01:44,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08350451290607452
2026-02-17 13:01:44,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08179675601422787
2026-02-17 13:01:44,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07543167099356651
2026-02-17 13:01:44,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07182961143553257
2026-02-17 13:01:45,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07232472486793995
2026-02-17 13:01:45,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08374087139964104
2026-02-17 13:01:45,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08167816698551178
2026-02-17 13:01:45,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08293217048048973
2026-02-17 13:01:45,FPGrowth,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12431933544576168
2026-02-17 13:01:45,FPGrowth,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11766078881919384
2026-02-17 13:01:45,FPGrowth,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11397083289921284
2026-02-17 13:01:46,FPGrowth,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11655842699110508
2026-02-17 13:01:46,FPGrowth,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11404826305806637
2026-02-17 13:01:46,FPGrowth,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11982755549252033
2026-02-17 13:01:46,FPGrowth,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.0786186009645462
2026-02-17 13:01:46,FPGrowth,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.0796684231609106
2026-02-17 13:01:46,FPGrowth,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07604220509529114
2026-02-17 13:01:46,FPGrowth,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.0849351491779089
2026-02-17 13:01:48,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},4,100,17500,NOT Homogeneous,2,1.4813012704253197
2026-02-17 13:01:50,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},3,100,17500,NOT Homogeneous,2,1.4117948841303587
2026-02-17 13:01:51,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},4,100,17500,NOT Homogeneous,2,1.5603212919086218
2026-02-17 13:01:56,RW,{'Public health coverage': 2},{'With a disability': 2},7,100,17500,Homogeneous,2,4.416084796190262
2026-02-17 13:02:00,RW,{'Public health coverage': 2},{'With a disability': 2},7,100,17500,Homogeneous,2,4.561158621683717
2026-02-17 13:02:05,RW,{'Public health coverage': 2},{'With a disability': 2},7,100,17500,Homogeneous,2,4.5826834458857775
2026-02-17 13:02:07,RW,{'Private health insurance coverage': 2},{'With a disability': 2},1,100,17500,NOT Homogeneous,2,1.6513447314500809
2026-02-17 13:02:08,RW,{'Private health insurance coverage': 2},{'With a disability': 2},3,100,17500,NOT Homogeneous,2,1.5758145153522491
2026-02-17 13:02:10,RW,{'Private health insurance coverage': 2},{'With a disability': 2},1,100,17500,NOT Homogeneous,2,1.6150427665561438
2026-02-17 13:02:14,RW,{'Educational attainment': 20},{'With a disability': 2},7,100,17500,Homogeneous,2,4.478574028238654
2026-02-17 13:02:19,RW,{'Educational attainment': 20},{'With a disability': 2},7,100,17500,Homogeneous,2,4.441831339150667
2026-02-17 13:02:23,RW,{'Educational attainment': 20},{'With a disability': 2},7,100,17500,Homogeneous,2,4.487721288576722
2026-02-17 13:02:28,RW,{'Educational attainment': 21},{'With a disability': 2},8,100,17500,Homogeneous,2,4.624441293999553
2026-02-17 13:02:33,RW,{'Educational attainment': 21},{'With a disability': 2},8,100,17500,Homogeneous,2,4.557089518755674
2026-02-17 13:02:37,RW,{'Educational attainment': 21},{'With a disability': 2},8,100,17500,Homogeneous,2,4.51538186147809
2026-02-17 13:02:39,RW,{'Educational attainment': 22},{'With a disability': 2},3,100,17500,NOT Homogeneous,2,1.3314369451254606
2026-02-17 13:02:40,RW,{'Educational attainment': 22},{'With a disability': 2},1,100,17500,NOT Homogeneous,2,1.226200319826603
2026-02-17 13:02:41,RW,{'Educational attainment': 22},{'With a disability': 2},5,100,17500,NOT Homogeneous,2,1.6208916809409857
2026-02-17 13:02:44,RW,{'Educational attainment': 20},{'Sex': 2},8,100,17500,Homogeneous,2,2.96936902590096
2026-02-17 13:02:48,RW,{'Educational attainment': 20},{'Sex': 2},8,100,17500,Homogeneous,2,3.003515772521496
2026-02-17 13:02:50,RW,{'Educational attainment': 20},{'Sex': 2},8,100,17500,Homogeneous,2,2.9320507552474737
2026-02-17 13:02:53,RW,{'Educational attainment': 21},{'Sex': 1},8,100,17500,Homogeneous,2,2.6840458754450083
2026-02-17 13:02:56,RW,{'Educational attainment': 21},{'Sex': 1},8,100,17500,Homogeneous,2,2.679988745599985
2026-02-17 13:02:59,RW,{'Educational attainment': 21},{'Sex': 1},8,100,17500,Homogeneous,2,2.675985708832741
2026-02-17 13:03:01,RW,{'Educational attainment': 20},{'Sex': 1},8,100,17500,Homogeneous,2,2.7542474158108234
2026-02-17 13:03:04,RW,{'Educational attainment': 20},{'Sex': 1},8,100,17500,Homogeneous,2,2.698954965919256
2026-02-17 13:03:07,RW,{'Educational attainment': 20},{'Sex': 1},8,100,17500,Homogeneous,2,2.693266959860921
2026-02-17 13:03:08,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},3,100,17500,NOT Homogeneous,2,1.0840925797820091
2026-02-17 13:03:09,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},3,100,17500,NOT Homogeneous,2,1.1092920452356339
2026-02-17 13:03:10,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},3,100,17500,NOT Homogeneous,2,1.150068087503314
2026-02-17 13:03:16,FPGrowth,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},2,100,17500,NOT Homogeneous,2,5.592039128765464
2026-02-17 13:03:22,FPGrowth,{'Public health coverage': 2},{'With a disability': 2},5,100,17500,Homogeneous,2,6.081089664250612
2026-02-17 13:03:28,FPGrowth,{'Private health insurance coverage': 2},{'With a disability': 2},27,100,17500,NOT Homogeneous,2,6.091025119647384
2026-02-17 13:03:35,FPGrowth,{'Educational attainment': 20},{'With a disability': 2},7,100,17500,Homogeneous,2,6.209390001371503
2026-02-17 13:03:41,FPGrowth,{'Educational attainment': 21},{'With a disability': 2},8,100,17500,Homogeneous,2,6.379997339099646
2026-02-17 13:03:47,FPGrowth,{'Educational attainment': 22},{'With a disability': 2},2,100,17500,NOT Homogeneous,2,5.90667275711894
2026-02-17 13:03:51,FPGrowth,{'Educational attainment': 20},{'Sex': 2},8,100,17500,Homogeneous,2,3.9116060715168715
2026-02-17 13:03:55,FPGrowth,{'Educational attainment': 21},{'Sex': 1},8,100,17500,Homogeneous,2,3.76305615901947
2026-02-17 13:03:59,FPGrowth,{'Educational attainment': 20},{'Sex': 1},8,100,17500,Homogeneous,2,3.629987010732293
2026-02-17 13:04:02,FPGrowth,{'Insurance through a current or former employer or union': 1},{'Sex': 1},3,100,17500,NOT Homogeneous,2,3.496248308569193
2026-02-17 13:04:07,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},7,100,17500,Homogeneous,2,4.395922217518091
2026-02-17 13:04:11,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},7,100,17500,Homogeneous,2,4.564271934330463
2026-02-17 13:04:16,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},7,100,17500,Homogeneous,2,4.4866260048002005
2026-02-17 13:04:18,RW,{'Public health coverage': 2},{'With a disability': 2},4,100,17500,NOT Homogeneous,2,1.6703140046447515
2026-02-17 13:04:19,RW,{'Public health coverage': 2},{'With a disability': 2},3,100,17500,NOT Homogeneous,2,1.6867498084902763
2026-02-17 13:04:21,RW,{'Public health coverage': 2},{'With a disability': 2},19,100,17500,NOT Homogeneous,2,1.928252425044775
2026-02-17 13:04:23,RW,{'Private health insurance coverage': 2},{'With a disability': 2},10,100,17500,NOT Homogeneous,2,1.8266588356345892
2026-02-17 13:04:25,RW,{'Private health insurance coverage': 2},{'With a disability': 2},19,100,17500,NOT Homogeneous,2,1.8970683068037033
2026-02-17 13:04:27,RW,{'Private health insurance coverage': 2},{'With a disability': 2},12,100,17500,NOT Homogeneous,2,1.811777949333191
2026-02-17 13:04:32,RW,{'Educational attainment': 20},{'With a disability': 2},8,100,17500,Homogeneous,2,4.5882227420806885
2026-02-17 13:04:36,RW,{'Educational attainment': 20},{'With a disability': 2},8,100,17500,Homogeneous,2,4.540451927110553
2026-02-17 13:04:41,RW,{'Educational attainment': 20},{'With a disability': 2},8,100,17500,Homogeneous,2,4.523895733058453
2026-02-17 13:04:45,RW,{'Educational attainment': 21},{'With a disability': 2},7,100,17500,Homogeneous,2,4.456521704792976
