Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
2,2,1,1,1,4,4,1,2,1,1,2,1,2,2,2,32000,1,2,2
1,6,1,1,2,2,4,2,4,1,1,1,1,2,4,2,3757,2,3,2
1,1,1,1,3,2,11,2,3,1,4,1,1,2,1,3,75504,1,1,1
1,4,1,1,2,2,2,3,1,1,1,4,2,2,1,2,52404,1,1,3
1,13,1,1,2,2,7,2,2,1,1,2,1,2,5,3,187152,3,3,2
1,9,2,1,2,9,2,2,2,1,1,3,1,2,1,3,52872,1,1,1
2,1,1,1,2,2,6,2,4,1,1,1,3,2,1,1,126403,1,1,1
1,2,1,1,2,2,5,1,1,1,1,9,2,1,2,1,235000,1,2,2
2,1,1,1,2,5,5,2,2,1,1,5,1,2,1,3,55562,1,1,1
1,2,1,1,2,4,3,2,2,1,1,1,1,2,2,3,125000,1,2,2
1,10,1,0,2,6,3,1,2,1,1,4,2,2,1,3,36716,1,1,1
1,5,1,1,2,2,5,2,1,1,1,1,1,1,3,1,87971,1,1,1
2,15,1,1,2,2,2,1,1,1,1,9,2,2,1,3,10572,1,1,1
1,2,1,0,2,2,5,2,3,1,1,3,1,1,2,3,155000,1,2,2
1,14,1,0,2,2,3,1,3,1,1,4,1,1,2,3,52339,1,1,1
2,2,1,0,1,9,5,1,3,4,1,1,1,1,2,1,113000,1,2,2
2,2,1,1,2,2,2,1,3,4,1,7,3,2,2,2,127000,1,2,2
1,2,1,1,2,2,7,2,1,1,1,5,1,2,2,2,47000,1,2,2
1,2,1,0,1,2,6,2,4,1,1,2,2,1,2,1,110000,1,2,2
1,6,1,1,2,2,2,2,3,1,1,6,3,2,4,2,11741,2,3,2
1,2,2,0,2,5,3,1,4,1,1,1,1,2,2,2,10000,1,2,2
2,2,1,1,2,2,9,2,2,4,1,3,2,1,2,1,64000,1,2,2
2,2,1,1,2,13,3,3,2,1,1,5,1,2,2,3,90000,1,2,2
2,14,1,0,2,2,5,1,3,1,1,1,1,1,2,3,43482,1,1,1
1,2,1,1,2,11,8,2,3,1,1,1,1,1,2,3,140000,1,2,2
1,2,1,1,2,2,5,1,3,1,1,1,1,2,2,1,96000,1,2,2
2,14,1,1,2,2,5,2,4,1,1,1,2,2,2,3,48313,1,1,1
2,8,1,1,2,2,8,2,2,1,1,1,1,1,1,3,42456,2,3,2
1,10,1,1,2,2,3,1,2,4,1,3,1,1,1,3,39776,1,1,1
1,2,1,1,2,2,8,2,3,1,1,3,1,2,2,3,94600,1,2,2
1,17,1,1,2,2,2,2,4,1,1,5,2,2,4,3,87768,1,1,2
1,1,1,1,1,2,2,2,3,1,1,1,1,2,1,3,62507,1,1,1
1,9,2,0,2,5,3,1,2,1,1,2,1,2,1,2,22032,1,1,1
1,1,1,0,2,9,8,1,1,4,1,3,3,1,1,3,59729,1,1,1
1,2,1,1,2,2,2,2,2,1,3,1,1,2,2,2,105000,1,2,2
1,2,1,0,3,2,2,2,4,1,1,1,3,2,2,3,80000,1,2,2
2,10,1,0,1,9,3,2,4,1,1,1,2,2,1,3,36720,1,1,1
1,14,1,1,1,2,7,1,2,1,1,1,1,1,2,1,1000000,1,1,1
1,10,3,1,2,2,7,2,4,1,1,3,1,2,1,2,19092,1,1,1
2,1,1,1,2,2,7,2,2,1,1,1,1,2,1,2,34726,1,1,1
1,2,1,1,2,2,8,2,3,1,1,1,1,2,2,3,106000,1,2,2
1,1,1,1,2,2,3,1,2,1,1,1,1,2,1,3,86120,1,1,1
1,6,1,1,2,2,2,2,2,4,4,4,3,2,4,2,4745,2,3,2
1,2,1,1,1,14,7,3,4,4,1,1,1,2,2,3,2000000,1,2,2
