treatment_col,treatment_value,epsilon,delta_percent,found,found_filters,found_size,found_ate,candidates_enumerated,candidates_evaluated,runtime_seconds
Gender,1,5000.0,0.7,True,{'SexualOrientation': 1},35377.0,6526.944541695357,11,1,0.36092345799988834
Gender,1,5000.0,0.8,True,{'SexualOrientation': 1},35377.0,6526.944541695357,3,1,0.20449070900212973
Gender,1,10000.0,0.5,True,{'SexualOrientation': 1},35377.0,6526.944541695357,68,1,1.2353557500027819
Gender,1,10000.0,0.6,True,{'SexualOrientation': 1},35377.0,6526.944541695357,27,1,0.648091041999578
Gender,1,10000.0,0.7,True,{'SexualOrientation': 1},35377.0,6526.944541695357,11,1,0.32937466699877405
Gender,1,10000.0,0.8,True,{'SexualOrientation': 1},35377.0,6526.944541695357,3,1,0.20623745799821336
SexualOrientation,1,100.0,0.5,True,"{'FormalEducation': 1, 'Gender': 1}",25398.0,443.4683398795462,67,16,1.8544274999985646
SexualOrientation,1,100.0,0.6,True,"{'Student': 1, 'Gender': 1}",29359.0,262.6612431065488,28,6,0.9236595000002126
SexualOrientation,1,100.0,0.7,True,{'HDI': 1},29885.0,863.8379127301037,11,4,0.6162330000006477
SexualOrientation,1,100.0,0.8,True,{'Gender': 1},35200.0,1036.9243250636432,3,1,0.20414433399855625
SexualOrientation,1,500.0,0.5,True,"{'FormalEducation': 1, 'Gender': 1}",25398.0,443.4683398795462,67,16,2.100478500000463
SexualOrientation,1,500.0,0.6,True,"{'Student': 1, 'Gender': 1}",29359.0,262.6612431065488,28,6,1.0287515419986448
SexualOrientation,1,500.0,0.7,True,{'HDI': 1},29885.0,863.8379127301037,11,4,0.659282542001165
SexualOrientation,1,500.0,0.8,True,{'Gender': 1},35200.0,1036.9243250636432,3,1,0.2520852499983448
SexualOrientation,1,1000.0,0.5,True,"{'Student': 1, 'HDI': 1}",25713.0,258.7965307086397,67,15,2.404778250001982
SexualOrientation,1,1000.0,0.6,True,"{'Student': 1, 'Gender': 1}",29359.0,262.6612431065488,28,6,0.9516185000029509
SexualOrientation,1,1000.0,0.7,True,{'HDI': 1},29885.0,863.8379127301037,11,4,0.5928148339990003
SexualOrientation,1,1000.0,0.8,True,{'Gender': 1},35200.0,1036.9243250636432,3,1,0.20740275000207475
SexualOrientation,1,5000.0,0.5,True,{'Gender': 1},35200.0,1036.9243250636432,67,1,1.1211962499983201
SexualOrientation,1,5000.0,0.6,True,{'Gender': 1},35200.0,1036.9243250636432,28,1,0.6039960840025742
SexualOrientation,1,5000.0,0.7,True,{'Gender': 1},35200.0,1036.9243250636432,11,1,0.3285628749981697
