Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Continent,Age,ConvertedSalary,HDI,GDP,GINI,TempTreatment
1,2,1,4,1,1,8,1,3,1,1,2,1,2,3,115000,1,2,2,0
1,5,1,6,1,1,2,2,1,1,1,6,1,1,2,45876,2,3,1,0
1,2,1,1,9,13,3,3,2,1,4,5,1,2,3,52000,1,2,2,0
1,2,1,4,1,1,5,1,2,1,1,4,7,2,2,41276,1,2,2,0
1,2,1,2,1,1,8,3,4,1,1,2,1,2,3,200000,1,2,2,0
1,13,3,1,1,1,1,1,2,1,1,1,2,5,1,10476,3,3,2,0
2,9,1,1,1,3,1,1,3,1,1,1,1,1,2,42672,1,1,3,0
1,1,2,2,1,1,3,1,3,1,1,1,1,1,1,23614,1,1,1,0
1,7,1,3,1,1,1,1,2,2,1,1,1,1,1,38184,1,1,1,0
1,2,1,4,7,1,2,3,4,1,1,4,1,2,2,960000,1,2,2,0
2,8,2,1,4,3,1,1,4,1,1,2,1,1,2,39768,2,3,2,0
1,15,1,6,3,3,4,3,4,1,1,6,6,1,2,22030,1,1,1,0
1,2,1,1,1,3,4,1,2,1,1,4,1,2,2,120000,1,2,2,0
1,2,1,4,4,1,4,3,3,1,1,4,2,2,2,130000,1,2,2,0
1,2,1,1,6,1,4,1,4,1,3,8,1,2,2,57000,1,2,2,0
1,2,1,1,1,14,1,1,1,2,3,4,1,2,2,85000,1,2,2,1
1,7,2,3,1,3,1,3,1,2,1,2,1,1,2,22032,1,1,1,0
1,7,1,4,4,11,2,2,2,1,1,4,1,1,2,61194,1,1,1,0
1,2,1,1,1,1,1,1,4,2,1,2,1,2,2,105000,1,2,2,0
1,7,2,1,1,4,5,1,1,2,1,4,4,1,3,75880,1,1,1,0
1,7,1,4,1,8,4,1,3,2,1,5,1,1,2,95462,1,1,1,0
1,16,2,1,9,13,4,1,1,1,1,3,1,1,1,4680,3,3,2,0
1,14,3,2,1,11,4,1,3,1,1,9,7,2,2,28988,1,1,1,0
1,3,2,3,1,1,4,3,2,1,1,8,1,1,1,6612,1,1,3,0
1,8,1,4,1,1,2,1,1,1,1,6,1,1,2,20172,2,3,2,0
1,2,1,2,4,1,6,3,2,1,1,2,1,2,2,37000,1,2,2,0
2,13,3,2,7,1,4,1,2,1,1,1,1,5,1,9360,3,3,2,0
1,16,2,3,1,4,4,3,2,1,1,4,1,1,1,7200,3,3,2,0
2,13,1,1,7,1,4,1,4,1,1,9,1,5,2,13848,3,3,2,0
1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,48616,1,1,1,0
1,7,2,4,1,3,4,2,1,1,1,3,1,1,2,55075,1,1,1,0
1,1,1,1,1,1,11,3,4,1,2,4,1,1,3,41157,1,1,1,0
1,7,1,3,8,4,5,1,2,1,1,1,1,1,4,82000,1,1,1,0
1,2,1,1,7,1,2,1,1,1,1,8,1,2,2,69000,1,2,2,0
1,2,1,2,12,1,5,1,2,1,1,8,1,2,2,78000,1,2,2,0
2,1,1,1,3,1,6,3,3,1,1,1,1,1,2,69452,1,1,1,0
1,4,1,1,1,1,1,1,2,2,1,4,3,3,2,4884,2,3,2,0
1,2,1,1,7,1,1,1,1,2,1,4,1,2,1,90000,1,2,2,0
1,12,1,4,5,3,8,3,1,1,1,6,1,4,3,85572,1,1,1,0
